================================================================================
LICENSE DETAILS (ALL DEPENDENCIES INCLUDING TRANSITIVE)
================================================================================
encoding_rs                      (Apache-2.0 OR MIT) AND BSD-3-Clause
json-patch                       MIT/Apache-2.0
lazycell                         MIT/Apache-2.0
matrixmultiply                   MIT/Apache-2.0
minimal-lexical                  MIT/Apache-2.0
num                              MIT/Apache-2.0
num-bigint                       MIT/Apache-2.0
num-cmp                          MIT/Apache-2.0
num-complex                      MIT/Apache-2.0
num-rational                     MIT/Apache-2.0
openssl-macros                   MIT/Apache-2.0
page_size                        MIT/Apache-2.0
quick-error                      MIT/Apache-2.0
rawpointer                       MIT/Apache-2.0
rustc-hex                        MIT/Apache-2.0
rusticata-macros                 MIT/Apache-2.0
rusty-fork                       MIT/Apache-2.0
semver-parser                    MIT/Apache-2.0
send_wrapper                     MIT/Apache-2.0
serde_urlencoded                 MIT/Apache-2.0
siphasher                        MIT/Apache-2.0
slug                             MIT/Apache-2.0
tagptr                           MIT/Apache-2.0
threadpool                       MIT/Apache-2.0
tikv-jemalloc-sys                MIT/Apache-2.0
tikv-jemallocator                MIT/Apache-2.0
vcpkg                            MIT/Apache-2.0
version_check                    MIT/Apache-2.0
wait-timeout                     MIT/Apache-2.0
winapi                           MIT/Apache-2.0
winapi-i686-pc-windows-gnu       MIT/Apache-2.0
winapi-x86_64-pc-windows-gnu     MIT/Apache-2.0
zstd-sys                         MIT/Apache-2.0
rust-librocksdb-sys              MIT/Apache-2.0/BSD-3-Clause
attohttpc                        MPL-2.0
colored                          MPL-2.0
fastrlp                          MPL-2.0
indent                           MPL-2.0
libmdbx                          MPL-2.0
mdbx-sys                         MPL-2.0
icu_collections                  Unicode-3.0
icu_locale_core                  Unicode-3.0
icu_normalizer                   Unicode-3.0
icu_normalizer_data              Unicode-3.0
icu_properties                   Unicode-3.0
icu_properties_data              Unicode-3.0
icu_provider                     Unicode-3.0
litemap                          Unicode-3.0
potential_utf                    Unicode-3.0
tinystr                          Unicode-3.0
writeable                        Unicode-3.0
yoke                             Unicode-3.0
yoke-derive                      Unicode-3.0
zerofrom                         Unicode-3.0
zerofrom-derive                  Unicode-3.0
zerotrie                         Unicode-3.0
zerovec                          Unicode-3.0
zerovec-derive                   Unicode-3.0
aho-corasick                     Unlicense OR MIT
byteorder                        Unlicense OR MIT
globset                          Unlicense OR MIT
ignore                           Unlicense OR MIT
memchr                           Unlicense OR MIT
termcolor                        Unlicense OR MIT
winapi-util                      Unlicense OR MIT
csv                              Unlicense/MIT
csv-core                         Unlicense/MIT
same-file                        Unlicense/MIT
walkdir                          Unlicense/MIT
const_format                     Zlib
const_format_proc_macros         Zlib
foldhash                         Zlib
dispatch2                        Zlib OR Apache-2.0 OR MIT
objc2-cloud-kit                  Zlib OR Apache-2.0 OR MIT
objc2-core-data                  Zlib OR Apache-2.0 OR MIT
objc2-core-foundation            Zlib OR Apache-2.0 OR MIT
objc2-core-graphics              Zlib OR Apache-2.0 OR MIT
objc2-core-image                 Zlib OR Apache-2.0 OR MIT
objc2-core-location              Zlib OR Apache-2.0 OR MIT
objc2-core-text                  Zlib OR Apache-2.0 OR MIT
objc2-io-surface                 Zlib OR Apache-2.0 OR MIT
objc2-quartz-core                Zlib OR Apache-2.0 OR MIT
objc2-ui-kit                     Zlib OR Apache-2.0 OR MIT
objc2-user-notifications         Zlib OR Apache-2.0 OR MIT
tinyvec                          Zlib OR Apache-2.0 OR MIT
cairo-lang-casm                  non-standard
cairo-lang-compiler              non-standard
cairo-lang-debug                 non-standard
cairo-lang-defs                  non-standard
cairo-lang-diagnostics           non-standard
cairo-lang-eq-solver             non-standard
cairo-lang-filesystem            non-standard
cairo-lang-formatter             non-standard
cairo-lang-lowering              non-standard
cairo-lang-parser                non-standard
cairo-lang-plugins               non-standard
cairo-lang-primitive-token       non-standard
cairo-lang-proc-macros           non-standard
cairo-lang-project               non-standard
cairo-lang-runnable-utils        non-standard
cairo-lang-runner                non-standard
cairo-lang-semantic              non-standard
cairo-lang-sierra                non-standard
cairo-lang-sierra-ap-change      non-standard
cairo-lang-sierra-gas            non-standard
cairo-lang-sierra-generator      non-standard
cairo-lang-sierra-to-casm        non-standard
cairo-lang-sierra-type-size      non-standard
cairo-lang-starknet              non-standard
cairo-lang-starknet-classes      non-standard
cairo-lang-syntax                non-standard
cairo-lang-syntax-codegen        non-standard
cairo-lang-test-utils            non-standard
cairo-lang-utils                 non-standard
mlir-sys                         non-standard

================================================================================
LICENSE SUMMARY
================================================================================
Total dependencies found: 892
Published crates: 892
Unpublished crates: 0

Unique licenses: 44

License breakdown:
  MIT OR Apache-2.0              370 crate(s) (41.5%)
  MIT                            211 crate(s) (23.7%)
  Apache-2.0 OR MIT               69 crate(s) (7.7%)
  MIT/Apache-2.0                  54 crate(s) (6.1%)
  Apache-2.0                      38 crate(s) (4.3%)
  non-standard                    30 crate(s) (3.4%)
  Unicode-3.0                     18 crate(s) (2.0%)
  Zlib OR Apache-2.0 OR MIT       13 crate(s) (1.5%)
  BSD-3-Clause                     9 crate(s) (1.0%)
  CC0-1.0                          7 crate(s) (0.8%)
  Unlicense OR MIT                 7 crate(s) (0.8%)
  ISC                              6 crate(s) (0.7%)
  MPL-2.0                          6 crate(s) (0.7%)
  Apache-2.0 OR ISC OR MIT         5 crate(s) (0.6%)
  Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT   5 crate(s) (0.6%)
  Apache-2.0/MIT                   4 crate(s) (0.4%)
  Unlicense/MIT                    4 crate(s) (0.4%)
  BSD-2-Clause                     3 crate(s) (0.3%)
  Zlib                             3 crate(s) (0.3%)
  0BSD                             2 crate(s) (0.2%)
  BSD-2-Clause OR Apache-2.0 OR MIT   2 crate(s) (0.2%)
  BSD-3-Clause OR MIT OR Apache-2.0   2 crate(s) (0.2%)
  MIT AND BSD-3-Clause             2 crate(s) (0.2%)
  MIT OR Apache-2.0 OR Zlib        2 crate(s) (0.2%)
  (Apache-2.0 OR MIT) AND BSD-3-Clause   1 crate(s) (0.1%)
  (MIT OR Apache-2.0) AND Apache-2.0   1 crate(s) (0.1%)
  (MIT OR Apache-2.0) AND Unicode-3.0   1 crate(s) (0.1%)
  0BSD OR MIT OR Apache-2.0        1 crate(s) (0.1%)
  Apache-2.0 / MIT                 1 crate(s) (0.1%)
  Apache-2.0 AND ISC               1 crate(s) (0.1%)
  Apache-2.0 OR BSL-1.0            1 crate(s) (0.1%)
  Apache-2.0 WITH LLVM-exception   1 crate(s) (0.1%)
  BSL-1.0                          1 crate(s) (0.1%)
  CC0-1.0 OR MIT-0 OR Apache-2.0   1 crate(s) (0.1%)
  CDLA-Permissive-2.0              1 crate(s) (0.1%)
  GPL-3.0-or-later                 1 crate(s) (0.1%)
  GPL-3.0/MIT                      1 crate(s) (0.1%)
  ISC AND (Apache-2.0 OR ISC)      1 crate(s) (0.1%)
  ISC AND (Apache-2.0 OR ISC) AND OpenSSL   1 crate(s) (0.1%)
  MIT OR Apache-2.0 OR BSD-1-Clause   1 crate(s) (0.1%)
  MIT OR Apache-2.0 OR LGPL-2.1-or-later   1 crate(s) (0.1%)
  MIT OR BSD-3-Clause              1 crate(s) (0.1%)
  MIT OR Zlib OR Apache-2.0        1 crate(s) (0.1%)
  MIT/Apache-2.0/BSD-3-Clause      1 crate(s) (0.1%)
